time,temperature
1049.7064192295074,35.625
1051.5308334827423,35.687
1053.3548276424408,35.687
1055.1788096427917,35.687
1057.0028438568115,35.75
1058.8268373012543,35.75
1060.6508295536041,35.75
1062.4748344421387,35.75
1064.2988255023956,35.75
1066.122415304184,35.687
1067.9464166164398,35.687
1069.7704105377197,35.625
1071.594842672348,35.625
1073.418847322464,35.625
1075.2424204349518,35.625
1077.0664172172546,35.562
1078.890415430069,35.625
1080.7148423194885,35.562
1082.5388441085815,35.625
1084.362821817398,35.625
1086.1868345737457,35.625
1088.010837316513,35.687
1089.8349058628082,35.687
1091.658854484558,35.75
1093.482829093933,35.75
1095.3068354129791,35.75
1097.130830526352,35.75
1098.9548349380493,35.812
1100.778832912445,35.75
1102.6028559207916,35.812
1104.426836013794,35.75
1106.2504169940948,35.75
1108.0744199752808,35.812
1109.8984565734863,35.812
1111.7228314876556,35.812
1113.5468327999115,35.812
1115.3704209327698,35.75
1117.1944155693054,35.812
1119.0184121131897,35.812
1120.8428275585175,35.812
1122.666823387146,35.75
1124.4908475875854,35.75
1126.3148839473724,35.75
1128.1388411521912,35.687
1129.9628500938416,35.75
1131.7864170074463,35.75
1133.6104173660278,35.75
1135.4348516464233,35.75
1137.2588322162628,35.687
1139.0828342437744,35.687
1140.9068269729614,35.625
1142.7308275699615,35.687
1144.5548326969147,35.687
1146.3784158229828,35.687
1148.2024176120758,35.687
1150.0268445014954,35.75
1151.8508398532867,35.75
1153.6785576343536,35.75
1155.4985389709473,35.75
1157.322413444519,35.75
1159.1465380191803,35.75
1160.9704418182373,35.75
1162.7944102287292,35.75
1164.618855714798,35.75
1166.4424200057983,35.75
1168.2664194107056,35.812
1170.0908398628235,35.812
1171.9148590564728,35.812
1173.738829612732,35.875
1175.5628349781036,35.875
1177.386868238449,35.875
1179.210837841034,35.875
1181.0349526405334,35.875
1182.8588347434998,35.937
1184.682828426361,35.937
1186.5064153671265,35.937
1188.3304190635681,35.937
1190.1548383235931,35.937
1191.9788348674774,35.875
1193.8028326034546,35.875
1195.6264173984528,35.875
1197.4504146575928,35.875
1199.2744138240814,35.875
1201.102609872818,35.875
1202.9224228858948,35.875
1204.7464094161987,35.875
1206.5708301067352,35.937
1208.3948271274567,35.937
1210.2184221744537,35.937
1212.042409658432,35.937
1213.8664119243622,35.937
1215.6908440589905,35.937
1217.514424085617,35.937
1219.3384075164795,36.0
1221.1624188423157,35.937
1222.9868433475494,35.937
1224.8108277320862,35.937
1226.6344199180603,35.937
1228.4584171772003,35.937
1230.2828352451324,35.937
1232.1068501472473,35.937
1233.9308319091797,35.937
1235.754831314087,35.875
1237.57883310318,35.875
1239.4028279781342,35.875
1241.22682762146,35.812
1243.0508365631104,35.812
1244.874853849411,35.812
1246.6988356113434,35.812
